 Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
 03-01-2016, W,9.34,192719067,34.09
 10-01-2016, W,10.09,272633097,48.61
 17-01-2016, W,5.57,285486338,48.44
 24-01-2016, W,4.33,290846379,48.69
 31-01-2016, W,12.15,268488879,48.93
 07-02-2016, W,5.39,277808644,46.99
 14-02-2016, W,7.25,277540990,47.87
 21-02-2016, W,6.95,276358636,47.49
 28-02-2016, W,6.8,279001304,47.85
 06-03-2016, W,10.87,272751362,48.89
 13-03-2016, W,8.53,274051465,47.84
 20-03-2016, W,10.04,277704432,49.28
 27-03-2016, W,7.79,254112857,43.97
 03-04-2016, W,5.54,278893070,47.09
 10-04-2016, W,8.36,288760810,50.23
 17-04-2016, W,9.35,273776957,48.12
 24-04-2016, W,8.33,271281219,47.13
 01-05-2016, W,7.14,272828903,46.78
 08-05-2016, W,10.08,278191670,49.23
 15-05-2016, W,8.35,287158622,49.84
 22-05-2016, W,5.79,294907133,49.77
 29-05-2016, W,8.93,285516879,49.83
 05-06-2016, W,8.5,276015594,47.92
 12-06-2016, W,8.05,275200526,47.52
 19-06-2016, W,8.41,276007277,47.83
 26-06-2016, W,6.44,272558068,46.22
 03-07-2016, W,9.88,269355159,47.4
 10-07-2016, W,7.19,278962617,47.65
 17-07-2016, W,5.88,276547859,46.56
 24-07-2016, W,7.98,283148620,48.74
 31-07-2016, W,6.78,269053335,45.69
 07-08-2016, W,10.38,276097264,48.75
 14-08-2016, W,7.74,284713584,48.81
 21-08-2016, W,8.97,272538236,47.33
 28-08-2016, W,10.16,280075040,49.27
 04-09-2016, W,9.74,273430490,47.85
 11-09-2016, W,8.22,302003002,51.96
 18-09-2016, W,8.1,290720742,49.93
 25-09-2016, W,8.12,299348867,51.4
 02-10-2016, W,6.61,293178085,49.5
 09-10-2016, W,8.51,288850357,49.77
 16-10-2016, W,7.4,277142418,47.16
 23-10-2016, W,5.74,287923250,48.11
 30-10-2016, W,4.37,286550939,47.17
 06-11-2016, W,5.41,288881101,48.06
 13-11-2016, W,5.21,275073892,45.64
 20-11-2016, W,5.6,289302811,48.18
 27-11-2016, W,3.43,282499940,45.97
 04-12-2016, W,5.11,270809584,44.83
 11-12-2016, W,5.17,294067291,48.69
 18-12-2016, W,6.66,275265154,46.29
 25-12-2016, W,6.01,276201862,46.1
 01-01-2017, W,4.01,273818642,44.73
 08-01-2017, W,5.06,282979279,46.72
 15-01-2017, W,5.06,274061571,45.23
 22-01-2017, W,3.08,307672739,49.72
 29-01-2017, W,4.47,288873598,47.34
 05-02-2017, W,7.17,286635388,48.31
 12-02-2017, W,4.29,295583189,48.3
 19-02-2017, W,2.85,277401770,44.64
 26-02-2017, W,3.07,283464972,45.7
 05-03-2017, W,3.29,270494425,43.69
 12-03-2017, W,3.7,274997516,44.59
 19-03-2017, W,3.35,274069172,44.25
 26-03-2017, W,3.69,276989816,44.87
 02-04-2017, W,4.01,281526500,45.73
 09-04-2017, W,4.17,280624475,45.64
 16-04-2017, W,4.39,282981620,46.11
 23-04-2017, W,2.97,272696628,43.77
 30-04-2017, W,4.03,267429039,43.37
 07-05-2017, W,3.28,284442807,45.76
 14-05-2017, W,2.52,288917146,46.1
 21-05-2017, W,3.84,272220899,44.01
 28-05-2017, W,3.61,280674531,45.25
 04-06-2017, W,2.8,286188542,45.73
 11-06-2017, W,2.74,286599729,45.75
 18-06-2017, W,3.46,280420878,45.08
 25-06-2017, W,3.03,280149830,44.82
 02-07-2017, W,6.23,280062806,46.31
 09-07-2017, W,2.51,275618430,43.82
 16-07-2017, W,3.1,271675304,43.43
 23-07-2017, W,2.76,273648200,43.58
 30-07-2017, W,2.79,276144321,43.97
 06-08-2017, W,2.73,284205855,45.21
 13-08-2017, W,4.03,275638852,44.42
 20-08-2017, W,3.79,274745041,44.14
 27-08-2017, W,3.24,280993234,44.87
 03-09-2017, W,4.12,288288159,46.44
 10-09-2017, W,4.59,277487490,44.9
 17-09-2017, W,3.35,287437984,45.89
