 Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
 03-01-2016, W,8.97,303166709,35.55
 10-01-2016, W,10.19,399045948,47.41
 17-01-2016, W,6.86,411660428,47.14
 24-01-2016, W,6.06,418592936,47.5
 31-01-2016, W,11.42,393343265,47.31
 07-02-2016, W,7.1,405856543,46.53
 14-02-2016, W,8.3,400622117,46.51
 21-02-2016, W,8.15,406000147,47.04
 28-02-2016, W,7.57,405005805,46.6
 06-03-2016, W,10.76,401489250,47.83
 13-03-2016, W,9.21,401159285,46.96
 20-03-2016, W,10.4,401894160,47.64
 27-03-2016, W,9.42,376809424,44.17
 03-04-2016, W,7.6,406325553,46.67
 10-04-2016, W,9.71,412375399,48.45
 17-04-2016, W,10.2,401982878,47.46
 24-04-2016, W,9.3,397845537,46.48
 01-05-2016, W,8.43,400625761,46.35
 08-05-2016, W,10.27,410248040,48.41
 15-05-2016, W,9.48,412940179,48.28
 22-05-2016, W,8.08,421754520,48.54
 29-05-2016, W,9.7,411107513,48.14
 05-06-2016, W,8.99,402645839,46.76
 12-06-2016, W,8.66,405602858,46.92
 19-06-2016, W,9.28,407006715,47.38
 26-06-2016, W,7.62,400441256,45.76
 03-07-2016, W,10.18,395275078,46.43
 10-07-2016, W,7.9,404584824,46.33
 17-07-2016, W,7.4,403622543,45.94
 24-07-2016, W,9.07,411462061,47.68
 31-07-2016, W,8.56,397317572,45.76
 07-08-2016, W,10.57,407469011,47.96
 14-08-2016, W,9.1,412822093,47.79
 21-08-2016, W,9.69,401682986,46.78
 28-08-2016, W,10.15,407189994,47.64
 04-09-2016, W,9.94,402501906,46.96
 11-09-2016, W,8.38,434542168,49.81
 18-09-2016, W,8.48,422724814,48.49
 25-09-2016, W,8.87,429755089,49.49
 02-10-2016, W,7.52,424591996,48.15
 09-10-2016, W,8.6,422179322,48.43
 16-10-2016, W,6.68,413569938,46.44
 23-10-2016, W,5.92,422453359,47.03
 30-10-2016, W,5.03,420207701,46.33
 06-11-2016, W,6.15,418143018,46.62
 13-11-2016, W,5.89,406451490,45.18
 20-11-2016, W,6.85,422213445,47.39
 27-11-2016, W,4.49,412328537,45.12
 04-12-2016, W,5.58,401470122,44.42
 11-12-2016, W,6.06,423707051,47.1
 18-12-2016, W,6.64,403003342,45.05
 25-12-2016, W,6.85,405160462,45.37
 01-01-2017, W,5.49,402443295,44.4
 08-01-2017, W,5.75,413673095,45.75
 15-01-2017, W,5.74,401820733,44.41
 22-01-2017, W,4.55,437108777,47.69
 29-01-2017, W,5.89,417061086,46.13
 05-02-2017, W,7.08,412985056,46.24
 12-02-2017, W,4.67,425632040,46.43
 19-02-2017, W,4.12,406832309,44.11
 26-02-2017, W,4.18,419226447,45.46
 05-03-2017, W,4.63,400563744,43.62
 12-03-2017, W,4.15,404487575,43.81
 19-03-2017, W,3.82,404985797,43.69
 26-03-2017, W,4.43,405428319,44
 02-04-2017, W,4.04,410612230,44.36
 09-04-2017, W,4.06,410567183,44.34
 16-04-2017, W,4.35,412418372,44.66
 23-04-2017, W,3.21,401448608,42.94
 30-04-2017, W,4,397059028,42.8
 07-05-2017, W,3.66,411951221,44.23
 14-05-2017, W,3.23,415957761,44.44
 21-05-2017, W,3.92,402425250,43.28
 28-05-2017, W,4.04,408871562,44.01
 04-06-2017, W,3.44,412959990,44.16
 11-06-2017, W,3.33,415314587,44.34
 18-06-2017, W,3.63,410120665,43.9
 25-06-2017, W,3.54,412523071,44.1
 02-07-2017, W,5.61,411649020,44.95
 09-07-2017, W,2.88,404602149,42.92
 16-07-2017, W,3.29,401948305,42.8
 23-07-2017, W,3.12,404043257,42.93
 30-07-2017, W,2.96,405866989,43.03
 06-08-2017, W,3.14,414189081,43.97
 13-08-2017, W,4.37,406296758,43.67
 20-08-2017, W,4.12,403867660,43.27
 27-08-2017, W,3.55,407218960,43.35
 03-09-2017, W,4.22,419138623,44.92
 10-09-2017, W,4.99,405639958,43.8
 17-09-2017, W,4.11,415692012,44.45
 24-09-2017, W,3.59,403606798,42.91
 01-10-2017, W,4.43,410526592,44.01
 08-10-2017, W,5.3,416223106,45.01
 15-10-2017, W,4.96,406740665,43.81
 22-10-2017, W,6.47,418948309,45.83
 29-10-2017, W,4.32,404189405,43.21
 05-11-2017, W,5.38,407217383,44
 12-11-2017, W,5.71,402530097,43.62
 19-11-2017, W,4.97,414097387,44.51
 26-11-2017, W,3.91,409487569,43.51
 03-12-2017, W,4.63,411315757,44.01
 10-12-2017, W,4.5,411327686,43.93
 17-12-2017, W,4.98,416386485,44.68
 24-12-2017, W,4.82,401183807,42.96
 31-12-2017, W,5.45,409032087,44.07
 07-01-2018, W,5.39,395469333,42.56
 14-01-2018, W,4.5,409673159,43.65
 21-01-2018, W,4.6,404937653,43.18
 28-01-2018, W,5.21,397688657,42.66
 04-02-2018, W,5.2,409454638,43.9
 11-02-2018, W,6.37,408877812,44.36
 18-02-2018, W,5.97,403291427,43.55
 25-02-2018, W,7.5,409776855,44.96
 04-03-2018, W,7.09,397929993,43.45
 11-03-2018, W,6.1,397107912,42.88
 18-03-2018, W,6.37,396822319,42.96
 25-03-2018, W,6.02,403381425,43.48
 01-04-2018, W,6.41,401245466,43.41
 08-04-2018, W,6.22,400278571,43.2
 15-04-2018, W,6.5,394421261,42.68
 22-04-2018, W,7.35,396687271,43.3
 29-04-2018, W,4.43,410012453,43.37
 06-05-2018, W,4.84,405390305,43.04
 13-05-2018, W,4.65,407131621,43.12
 20-05-2018, W,5.04,402863366,42.83
 27-05-2018, W,5.76,393900883,42.17
 03-06-2018, W,5.23,405198851,43.12
 10-06-2018, W,5.92,402516703,43.13
 17-06-2018, W,5.68,404758537,43.24
 24-06-2018, W,4.9,409748512,43.39
 01-07-2018, W,6.07,391766013,41.99
 08-07-2018, W,5.55,389943977,41.54
 15-07-2018, W,5.38,396169769,42.11
 22-07-2018, W,5.56,403415791,42.94
 29-07-2018, W,5.97,404749730,43.25
 05-08-2018, W,5.58,399722003,42.52
 12-08-2018, W,6.92,399225437,43.06
 19-08-2018, W,6.7,400093573,43.03
 26-08-2018, W,5.78,400821214,42.67
 02-09-2018, W,5.79,414411147,44.1
 09-09-2018, W,6.5,402432971,43.13
 16-09-2018, W,6.24,413269599,44.15
 23-09-2018, W,7,402723551,43.36
 30-09-2018, W,6.33,400813613,42.83
 07-10-2018, W,6.81,397881990,42.71
 14-10-2018, W,6.96,386402333,41.53
 21-10-2018, W,7.03,405495505,43.59
 28-10-2018, W,6.38,409925613,43.74
 04-11-2018, W,6.13,396793743,42.21
 11-11-2018, W,7.37,390752930,42.1
 18-11-2018, W,6.72,397943360,42.56
 25-11-2018, W,6.57,404978770,43.23
 02-12-2018, W,6.31,405568938,43.15
 09-12-2018, W,6.38,403807392,42.97
 16-12-2018, W,8.38,396875399,43.14
 23-12-2018, W,7.67,394379627,42.52
 30-12-2018, W,7.8,392511957,42.36
 06-01-2019, W,7.79,408366865,44.04
 13-01-2019, W,6.44,407545849,43.3
 20-01-2019, W,7.41,402058712,43.15
 27-01-2019, W,6.96,406786495,43.42
 03-02-2019, W,6.78,404741561,43.1
 10-02-2019, W,7.91,395855360,42.65
 17-02-2019, W,6.58,400637756,42.53
 24-02-2019, W,7.12,408195791,43.57
 03-03-2019, W,6.42,404488997,42.83
 10-03-2019, W,6.93,393851532,41.91
 17-03-2019, W,6.97,393768313,41.9
 24-03-2019, W,6.24,409417989,43.21
 31-03-2019, W,6.43,409368498,43.27
 07-04-2019, W,7.91,402633820,43.23
 14-04-2019, W,8.06,411949815,44.28
 21-04-2019, W,8.38,399620292,43.08
 28-04-2019, W,6.54,395332567,41.76
 05-05-2019, W,7.71,397185987,42.47
 12-05-2019, W,6.94,404965899,42.92
 19-05-2019, W,7.29,396292072,42.14
 26-05-2019, W,7.29,404856074,43.04
 02-06-2019, W,8.71,395785395,42.71
 09-06-2019, W,9.04,394964496,42.75
 16-06-2019, W,8.45,401530382,43.16
 23-06-2019, W,7.36,403093732,42.8
 30-06-2019, W,6.95,410691540,43.4
 07-07-2019, W,7.67,412834295,43.95
 14-07-2019, W,7.19,402145838,42.57
 21-07-2019, W,7.65,405514320,43.12
 28-07-2019, W,7.92,407466748,43.43
 04-08-2019, W,8.34,402092365,43.04
 11-08-2019, W,8.87,406837485,43.78
 18-08-2019, W,7.89,401740812,42.75
 25-08-2019, W,9.07,400862985,43.19
 01-09-2019, W,7.91,401841625,42.73
 08-09-2019, W,7.44,412977413,43.67
 15-09-2019, W,6.78,414218170,43.47
 22-09-2019, W,7.57,408030615,43.17
 29-09-2019, W,7.09,405407319,42.66
 06-10-2019, W,8.36,403674916,43.04
 13-10-2019, W,8.56,404081323,43.16
 20-10-2019, W,8.01,406376230,43.12
 27-10-2019, W,7.36,409271118,43.11
 03-11-2019, W,6.64,398542036,41.64
 10-11-2019, W,8.38,400191609,42.58
 17-11-2019, W,7.72,395510318,41.76
 24-11-2019, W,7.22,412591147,43.31
 01-12-2019, W,6.44,405626665,42.21
 08-12-2019, W,8.25,402792351,42.72
 15-12-2019, W,7.62,409151058,43.08
 22-12-2019, W,8.79,405690675,43.24
 29-12-2019, W,7.03,403607406,42.19
 05-01-2020, W,7.51,405448385,42.58
 12-01-2020, W,7.67,413106485,43.44
 19-01-2020, W,6.56,417705056,43.38
 26-01-2020, W,6.6,412384908,42.83
 02-02-2020, W,7.42,412152746,43.16
 09-02-2020, W,8.52,405774010,42.99
 16-02-2020, W,8.1,407211495,42.92
 23-02-2020, W,7.42,413010706,43.2
 01-03-2020, W,8.11,398409779,41.96
 08-03-2020, W,7.71,402077779,42.14
 15-03-2020, W,6.74,407704814,42.27
 22-03-2020, W,8.41,404074739,42.64
 29-03-2020, W,23.81,309222043,39.21
 05-04-2020, W,23.38,286463911,36.1
 12-04-2020, W,24,279748657,35.53
 19-04-2020, W,26.19,270729608,35.39
 26-04-2020, W,21.05,289551903,35.37
 03-05-2020, W,27.11,273606584,36.18
 10-05-2020, W,23.97,296378009,37.56
 17-05-2020, W,24.01,306498625,38.84
 24-05-2020, W,24.34,304534963,38.74
 31-05-2020, W,20.19,320739462,38.67
 07-06-2020, W,17.51,336413808,39.22
 14-06-2020, W,11.63,371294437,40.39
 21-06-2020, W,8.48,399841530,41.98
 28-06-2020, W,8.59,393631941,41.36
 05-07-2020, W,8.87,383912197,40.44
 12-07-2020, W,7.44,389419572,40.37
 19-07-2020, W,7.94,400445989,41.72
 26-07-2020, W,8.21,393544715,41.1
 02-08-2020, W,7.19,391767904,40.45
 09-08-2020, W,8.67,387305536,40.62
 16-08-2020, W,9.1,400876271,42.22
 23-08-2020, W,7.46,391568017,40.49
 30-08-2020, W,8.13,379717207,39.53
 06-09-2020, W,7.28,399160824,41.16
 13-09-2020, W,7.04,396079800,40.72
 20-09-2020, W,6.35,395655705,40.35
 27-09-2020, W,5.84,396794412,40.23
 04-10-2020, W,8.01,393523272,40.82
 11-10-2020, W,7.71,393005797,40.62
 18-10-2020, W,6.11,397469489,40.36
 25-10-2020, W,6.86,404066435,41.34
 01-11-2020, W,7.15,401877475,41.23
 08-11-2020, W,6.89,393530239,40.24
 15-11-2020, W,5.45,392826413,39.54
 22-11-2020, W,7.77,380973671,39.29
 29-11-2020, W,7.51,399530262,41.07
 06-12-2020, W,8.43,403402309,41.87
 13-12-2020, W,9.9,396609651,41.82
 20-12-2020, W,10.1,384225530,40.58
 27-12-2020, W,9.5,374810544,39.31
 03-01-2021, W,8,390813850,40.3
 10-01-2021, W,7.38,398069629,40.75
 17-01-2021, W,4.66,395786750,39.35
 24-01-2021, W,5.92,410159661,41.3
 31-01-2021, W,6.15,402028365,40.57
 07-02-2021, W,7.62,399046651,40.88
 14-02-2021, W,7.02,397669126,40.46
 21-02-2021, W,6.68,399481735,40.48
 28-02-2021, W,7.14,398929988,40.61
 07-03-2021, W,6.25,394667165,39.77
 14-03-2021, W,6.63,390456011,39.49
 21-03-2021, W,6.72,401117878,40.59
 28-03-2021, W,6.65,407797525,41.21
 04-04-2021, W,8.16,401121429,41.19
 11-04-2021, W,8.58,388526407,40.06
 18-04-2021, W,8.4,390657607,40.18
 25-04-2021, W,7.4,393758429,40.05
 02-05-2021, W,8.19,379686032,38.93
 09-05-2021, W,8.67,400851962,41.3
 16-05-2021, W,14.45,368663764,40.53
 23-05-2021, W,14.73,357227511,39.38
 30-05-2021, W,12.15,364147386,38.95
 06-06-2021, W,13.62,360883101,39.24
 13-06-2021, W,8.7,386611705,39.75
 20-06-2021, W,9.35,391116860,40.49
 27-06-2021, W,8.72,385389369,39.6
 04-07-2021, W,7.3,390469858,39.49
 11-07-2021, W,7.64,400112727,40.59
 18-07-2021, W,5.98,405579108,40.41
 25-07-2021, W,7.14,407954081,41.13
 01-08-2021, W,7.44,393408061,39.78
 08-08-2021, W,8.1,407500733,41.48
 15-08-2021, W,8.03,397572614,40.42
 22-08-2021, W,7.92,394309340,40.02
 29-08-2021, W,8.81,398066880,40.78
 05-09-2021, W,8.72,401205792,41.04
 12-09-2021, W,7.35,405782939,40.87
 19-09-2021, W,5.89,401060189,39.75
