 Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
 03-01-2016, W,8.3,110447642,38.44
 10-01-2016, W,10.41,126412852,45.01
 17-01-2016, W,9.67,126174091,44.54
 24-01-2016, W,9.78,127746557,45.13
 31-01-2016, W,9.78,124854386,44.09
 07-02-2016, W,10.6,128047899,45.61
 14-02-2016, W,10.59,123081128,43.81
 21-02-2016, W,10.61,129641511,46.13
 28-02-2016, W,9.21,126004502,44.12
 06-03-2016, W,10.54,128737887,45.73
 13-03-2016, W,10.66,127107821,45.19
 20-03-2016, W,11.19,124189727,44.4
 27-03-2016, W,12.62,122696566,44.56
 03-04-2016, W,11.82,127432483,45.84
 10-04-2016, W,12.72,123614589,44.9
 17-04-2016, W,11.96,128205921,46.15
 24-04-2016, W,11.3,126564318,45.19
 01-05-2016, W,11.06,127796858,45.49
 08-05-2016, W,10.67,132056370,46.78
 15-05-2016, W,11.94,125781557,45.17
 22-05-2016, W,12.98,126847387,46.08
 29-05-2016, W,11.39,125590635,44.78
 05-06-2016, W,10.03,126630245,44.45
 12-06-2016, W,9.94,130402333,45.7
 19-06-2016, W,11.06,130999438,46.47
 26-06-2016, W,10.05,127883187,44.83
 03-07-2016, W,10.82,125919918,44.51
 10-07-2016, W,9.44,125622207,43.7
 17-07-2016, W,10.54,127074684,44.73
 24-07-2016, W,11.39,128313441,45.58
 31-07-2016, W,12.07,128264237,45.89
 07-08-2016, W,10.98,131371747,46.4
 14-08-2016, W,11.98,128108509,45.74
 21-08-2016, W,11.17,129144750,45.67
 28-08-2016, W,10.14,127114954,44.42
 04-09-2016, W,10.36,129071416,45.19
 11-09-2016, W,8.73,132539166,45.55
 18-09-2016, W,9.32,132004073,45.64
 25-09-2016, W,10.54,130406222,45.68
 02-10-2016, W,9.48,131413911,45.47
 09-10-2016, W,8.79,133328965,45.76
 16-10-2016, W,5.19,136427520,45.03
 23-10-2016, W,6.28,134530109,44.9
 30-10-2016, W,6.43,133656762,44.65
 06-11-2016, W,7.75,129261917,43.78
 13-11-2016, W,7.3,131377598,44.26
 20-11-2016, W,9.46,132910634,45.82
 27-11-2016, W,6.73,129828596,43.43
 04-12-2016, W,6.54,130660538,43.6
 11-12-2016, W,8.02,129639760,43.93
 18-12-2016, W,6.6,127738188,42.61
 25-12-2016, W,8.59,128958599,43.93
 01-01-2017, W,8.49,128624653,43.75
 08-01-2017, W,7.21,130693816,43.82
 15-01-2017, W,7.15,127759163,42.79
 22-01-2017, W,7.86,129436038,43.66
 29-01-2017, W,8.92,128187489,43.72
 05-02-2017, W,6.87,126349668,42.13
 12-02-2017, W,5.53,130048851,42.72
 19-02-2017, W,6.73,129430539,43.05
 26-02-2017, W,6.41,135761475,44.97
 05-03-2017, W,7.29,130069318,43.48
 12-03-2017, W,5.1,129490059,42.26
 19-03-2017, W,4.78,130916625,42.57
 26-03-2017, W,5.97,128438503,42.27
 02-04-2017, W,4.12,129085730,41.64
 09-04-2017, W,3.82,129942708,41.77
 16-04-2017, W,4.25,129436752,41.77
 23-04-2017, W,3.7,128751980,41.29
 30-04-2017, W,3.96,129629989,41.67
 07-05-2017, W,4.49,127508413,41.19
 14-05-2017, W,4.8,127040615,41.16
 21-05-2017, W,4.08,130204352,41.84
 28-05-2017, W,4.99,128197031,41.57
 04-06-2017, W,4.88,126771448,41.04
 11-06-2017, W,4.62,128714858,41.54
 18-06-2017, W,4.01,129699788,41.57
 25-06-2017, W,4.61,132373241,42.67
 02-07-2017, W,4.26,131586214,42.24
 09-07-2017, W,3.65,128983719,41.12
 16-07-2017, W,3.7,130273001,41.54
 23-07-2017, W,3.88,130395057,41.64
 30-07-2017, W,3.33,129722668,41.16
 06-08-2017, W,4.01,129983226,41.52
 13-08-2017, W,5.09,130657906,42.19
 20-08-2017, W,4.81,129122618,41.55
 27-08-2017, W,4.23,126225725,40.35
 03-09-2017, W,4.44,130850464,41.9
 10-09-2017, W,5.84,128152468,41.63
 17-09-2017, W,5.75,128254028,41.6
 24-09-2017, W,5.45,129572637,41.88
 01-10-2017, W,7.23,127225085,41.89
 08-10-2017, W,8.1,126573572,42.05
 15-10-2017, W,7.03,129415912,42.47
 22-10-2017, W,4.75,139815507,44.77
 29-10-2017, W,5.07,131019292,42.07
 05-11-2017, W,5.19,130453413,41.92
 12-11-2017, W,6.01,127443641,41.29
 19-11-2017, W,4.74,129686976,41.44
 26-11-2017, W,5.23,128203694,41.16
 03-12-2017, W,5.57,129891167,41.83
 10-12-2017, W,4.99,128790443,41.2
 17-12-2017, W,5.26,132113186,42.36
 24-12-2017, W,5.2,129749541,41.56
 31-12-2017, W,5.54,131731621,42.33
 07-01-2018, W,6.62,125232043,40.68
